N,sqrt(1/N),Mesh,Cl,Cd,Cdp,Cdv
1060864,0.000971,2369x449,0.159511385460345,0.0100684476330744,0.001534,0.008534
265216,0.00194,1185x225,0.159394049276379,0.0101048162525825,0.001577,0.008526
66304,0.00388,593x113,0.159461619382251,0.010397785161172,0.00191,0.00849
16576,0.00777,297x57,0.160152578928417,0.0127517013570821,0.00429,0.00846
4144,0.0155,149x29,0.155284417829862,0.0279343541448856,0.0186,0.00938
