N,sqrt(1/N),Mesh,x1,x2,x3,x4,x5,x6,x7
1060864,0.00097089,2369x449,0.3944839638233952,0.5793687226787749,0.7349306643151065,0.8029555277928485,0.8604522686283238,0.8877224021863125,0.9169472466528853
265216,0.00194178,1185x225,0.3791300198783164,0.5455931858718218,0.7059310416968498,0.7801535010693303,0.8440118851990382,0.8744110293913656,0.9065589513222115
66304,0.00388356,593x113,0.37202123681066485,0.539635980591791,0.7002180348288515,0.7738334314311338,0.8372733323925736,0.8680186116040008,0.9014319082818582
16576,0.00776712,297x57,0.3471214258758078,0.5212750315840294,0.6846898373389902,0.7575570329784356,0.8201527889690385,0.8508501898108267,0.8857708124230768
4144,0.0155342,149x29,0.2869850699965701,0.48247875794727785,0.6506588035738449,0.7226893449912888,0.7856226840627382,0.8168474336225348,0.8530756912898084
