Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-0.15000000596046448,29.712228775024414,-0.15000000596046448,29.712148666381836,-0.15000000596046448,29.946109771728516,-0.15000000596046448,30.20934295654297,-0.15000000596046448,30.43301773071289,-0.15000000596046448,30.51511001586914,-0.15000000596046448,30.601560592651367
-0.14970000088214874,29.7116641998291,-0.14970000088214874,29.711715698242188,-0.14970000088214874,29.946292877197266,-0.14970000088214874,30.209787368774414,-0.14970000088214874,30.43366813659668,-0.14970000088214874,30.515506744384766,-0.14970000088214874,30.602279663085938
-0.149399995803833,29.711097717285156,-0.149399995803833,29.71128273010254,-0.149399995803833,29.946475982666016,-0.149399995803833,30.21023178100586,-0.149399995803833,30.43431854248047,-0.149399995803833,30.515901565551758,-0.149399995803833,30.60300064086914
-0.14910000562667847,29.710533142089844,-0.14910000562667847,29.71084976196289,-0.14910000562667847,29.946659088134766,-0.14910000562667847,30.210676193237305,-0.14910000562667847,30.434968948364258,-0.14910000562667847,30.516294479370117,-0.14910000562667847,30.60371971130371
-0.14880000054836273,29.70996856689453,-0.14880000054836273,29.710416793823242,-0.14880000054836273,29.94684600830078,-0.14880000054836273,30.21112060546875,-0.14880000054836273,30.435617446899414,-0.14880000054836273,30.51668930053711,-0.14880000054836273,30.60443878173828
-0.148499995470047,29.709402084350586,-0.148499995470047,29.709985733032227,-0.148499995470047,29.947031021118164,-0.148499995470047,30.211565017700195,-0.148499995470047,30.43626594543457,-0.148499995470047,30.5170841217041,-0.148499995470047,30.60515785217285
-0.14820000529289246,29.708837509155273,-0.14820000529289246,29.70955467224121,-0.14820000529289246,29.947219848632812,-0.14820000529289246,30.212011337280273,-0.14820000529289246,30.43691635131836,-0.14820000529289246,30.517478942871094,-0.14820000529289246,30.605876922607422
-0.14790000021457672,29.708271026611328,-0.14790000021457672,29.709123611450195,-0.14790000021457672,29.947406768798828,-0.14790000021457672,30.21245574951172,-0.14790000021457672,30.437564849853516,-0.14790000021457672,30.517871856689453,-0.14790000021457672,30.606595993041992
-0.147599995136261,29.707706451416016,-0.147599995136261,29.70869255065918,-0.147599995136261,29.94759750366211,-0.147599995136261,30.212900161743164,-0.147599995136261,30.438213348388672,-0.147599995136261,30.518266677856445,-0.147599995136261,30.607315063476562
-0.14730000495910645,29.70713996887207,-0.14730000495910645,29.708263397216797,-0.14730000495910645,29.94778823852539,-0.14730000495910645,30.213346481323242,-0.14730000495910645,30.438859939575195,-0.14730000495910645,30.518659591674805,-0.14730000495910645,30.6080322265625
-0.1469999998807907,29.706575393676758,-0.1469999998807907,29.707834243774414,-0.1469999998807907,29.947978973388672,-0.1469999998807907,30.21379280090332,-0.1469999998807907,30.43950843811035,-0.1469999998807907,30.519052505493164,-0.1469999998807907,30.60875129699707
-0.14669999480247498,29.706008911132812,-0.14669999480247498,29.70740509033203,-0.14669999480247498,29.948171615600586,-0.14669999480247498,30.214237213134766,-0.14669999480247498,30.440156936645508,-0.14669999480247498,30.519502639770508,-0.14669999480247498,30.609468460083008
-0.14640000462532043,29.7054443359375,-0.14640000462532043,29.70697593688965,-0.14640000462532043,29.9483642578125,-0.14640000462532043,30.214683532714844,-0.14640000462532043,30.44080352783203,-0.14640000462532043,30.520299911499023,-0.14640000462532043,30.610185623168945
-0.1460999995470047,29.704877853393555,-0.1460999995470047,29.706357955932617,-0.1460999995470047,29.948558807373047,-0.1460999995470047,30.215129852294922,-0.1460999995470047,30.441450119018555,-0.1460999995470047,30.52109718322754,-0.1460999995470047,30.610904693603516
-0.14579999446868896,29.70431137084961,-0.14579999446868896,29.70551109313965,-0.14579999446868896,29.948755264282227,-0.14579999446868896,30.215576171875,-0.14579999446868896,30.44209861755371,-0.14579999446868896,30.521896362304688,-0.14579999446868896,30.611621856689453
