x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
0.8467212915420532,0.0,0.023264868184924126,0.7237562537193298,0.0,-2.91169032515335e-14,0.0,156037.953125,0.0,62415.18359375,300.4195861816406,1.1578168794890896e-16,-0.0432150661945343,0.0,-4.02302601225802e-14,0.0,1.8479009668226354e-05,0.0025739071425050497,-1.3430895555474572e-25,-0.00038877196493558586,-0.04558604210615158,0.10487540066242218,0.0
0.8497501611709595,0.0,0.022807681933045387,0.723768949508667,0.0,-2.8210715217308856e-14,0.0,156040.796875,0.0,62416.3203125,300.4197998046875,1.1217627897403123e-16,-0.03985694423317909,0.0,-3.8977515334250035e-14,0.0,1.847901876317337e-05,0.002561858156695962,7.745480101719081e-25,-0.00038659930578432977,-0.045251473784446716,0.10466500371694565,0.0
0.8527336120605469,0.0,0.022357570007443428,0.7237809896469116,0.0,-2.7289184028277645e-14,0.0,156043.546875,0.0,62417.41796875,300.42010498046875,1.085100689154084e-16,-0.036612655967473984,0.0,-3.7703648932347136e-14,0.0,1.84790333150886e-05,0.002555461600422859,1.3560573194936427e-25,-0.0003857176925521344,-0.045107949525117874,0.10457055270671844,0.0
0.8556718826293945,0.0,0.021913863718509674,0.7237929105758667,0.0,-2.6385794590910727e-14,0.0,156046.25,0.0,62418.5,300.42034912109375,1.0491614782487781e-16,-0.03341665118932724,0.0,-3.6454895363264433e-14,0.0,1.8479046048014425e-05,0.002540217014029622,-8.553286764989019e-27,-0.00038374250289052725,-0.044653356075286865,0.10429482907056808,0.0
0.8585653305053711,0.0,0.02147659845650196,0.7238048911094666,0.0,-2.5493484344493895e-14,0.0,156048.953125,0.0,62419.578125,300.4205627441406,1.0136639817905755e-16,-0.03023015521466732,0.0,-3.522148664305419e-14,0.0,1.8479055142961442e-05,0.002521342830732465,5.781537415499573e-25,-0.0003811581409536302,-0.04407323896884918,0.10394275188446045,0.0
0.8614141345024109,0.0,0.02104579098522663,0.7238168120384216,0.0,-2.46018415600395e-14,0.0,156051.609375,0.0,62420.64453125,300.4207458496094,9.781942786009546e-17,-0.02707388438284397,0.0,-3.3989043540403815e-14,0.0,1.847906423790846e-05,0.0025018046144396067,1.1519930548978412e-25,-0.00037842459278181195,-0.04347248747944832,0.10357481986284256,0.0
0.8642188310623169,0.0,0.020621443167328835,0.7238286733627319,0.0,-2.3718287940231383e-14,0.0,156054.25,0.0,62421.703125,300.4209289550781,9.430475728969235e-17,-0.02395237796008587,0.0,-3.276781854210688e-14,0.0,1.8479073332855478e-05,0.0024828289169818163,1.1514150910252504e-25,-0.00037573734880425036,-0.042893506586551666,0.10321636497974396,0.0
0.8669796586036682,0.0,0.020203540101647377,0.7238403558731079,0.0,-2.2818122310261715e-14,0.0,156056.859375,0.0,62422.74609375,300.42108154296875,9.072418358552591e-17,-0.020869214087724686,0.0,-3.152369316104797e-14,0.0,1.8479080608813092e-05,0.0024645368102937937,0.0,-0.00037312187487259507,-0.04234032705426216,0.10287003964185715,0.0
0.8696969747543335,0.0,0.019792066887021065,0.7238519191741943,0.0,-2.1997264375143467e-14,0.0,156059.4375,0.0,62423.77734375,300.4212646484375,8.74590568623178e-17,-0.017825722694396973,0.0,-3.038917723149556e-14,0.0,1.8479087884770706e-05,0.0024467739276587963,0.0,-0.0003705600101966411,-0.04180704802274704,0.10253281146287918,0.0
0.872371256351471,0.0,0.01938699185848236,0.7238633036613464,0.0,-2.121138043041735e-14,0.0,156061.984375,0.0,62424.79296875,300.4214172363281,8.43331016228105e-17,-0.014822070486843586,0.0,-2.9303020106967795e-14,0.0,1.8479096979717724e-05,0.0024293982423841953,5.227004683946068e-25,-0.0003680338559206575,-0.04128848388791084,0.10220181196928024,0.0
0.8750028014183044,0.0,0.018988285213708878,0.7238745093345642,0.0,-2.051284421727799e-14,0.0,156064.484375,0.0,62425.796875,300.4216003417969,8.155454900568568e-17,-0.011857911013066769,0.0,-2.833757025962145e-14,0.0,1.8479104255675338e-05,0.0024123156908899546,5.239102358965698e-25,-0.0003655318287201226,-0.040781665593385696,0.10187513381242752,0.0
0.8775919675827026,0.0,0.01859590783715248,0.7238855957984924,0.0,-1.978563593887407e-14,0.0,156066.96875,0.0,62426.78515625,300.4217529296875,7.866210354437965e-17,-0.00893252994865179,0.0,-2.7332545338913487e-14,0.0,1.8479113350622356e-05,0.0023954648058861494,-5.137465026898957e-25,-0.0003630463615991175,-0.040284495800733566,0.10155156999826431,0.0
0.8801392316818237,0.0,0.018209824338555336,0.7238965034484863,0.0,-1.9057226567750947e-14,0.0,156069.40625,0.0,62427.76171875,300.42193603515625,7.576498616697393e-17,-0.006045065820217133,0.0,-2.632589919714448e-14,0.0,1.847912062657997e-05,0.0023787920363247395,-1.0508863797012811e-24,-0.00036057026591151953,-0.03979506343603134,0.10123000293970108,0.0
0.8826449513435364,0.0,0.01782999001443386,0.7239072918891907,0.0,-1.8275906436544635e-14,0.0,156071.8125,0.0,62428.7265625,300.422119140625,7.265761933019193e-17,-0.0031948131509125233,0.0,-2.524619646367479e-14,0.0,1.8479127902537584e-05,0.0023622207809239626,-5.454171479708366e-25,-0.00035809227847494185,-0.039309967309236526,0.10090883076190948,0.0
0.8851096034049988,0.0,0.017456362023949623,0.7239179015159607,0.0,-1.750825402897522e-14,0.0,156074.203125,0.0,62429.6796875,300.4222717285156,6.960470083005062e-17,-0.0003809382615145296,0.0,-2.4185413058114974e-14,0.0,1.8479136997484602e-05,0.002345683053135872,-1.1294591198806865e-25,-0.0003556015726644546,-0.038826920092105865,0.10058663785457611,0.0
0.8875334858894348,0.0,0.01708889752626419,0.7239283919334412,0.0,-1.6773664705468927e-14,0.0,156076.546875,0.0,62430.62109375,300.42242431640625,6.668333713452974e-17,0.0023968617897480726,0.0,-2.3170337244454893e-14,0.0,1.8479144273442216e-05,0.002329131355509162,-1.128652756124131e-25,-0.00035308950464241207,-0.038345567882061005,0.10026238113641739,0.0
