x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
9.136088330308212e-09,0.0,2.5002176698762923e-05,0.7277466058731079,0.0,-2.3734453789022858e-17,0.0,156922.203125,0.0,62768.87890625,300.4654541015625,9.38540319505862e-20,1.0019209384918213,0.0,-3.2613623896765096e-17,0.0,1.848117790359538e-05,2.1199097943735978e-07,0.0,0.0002855840430129,-0.0018603353528305,0.0302786435931921,0.0
3.7532622343405826e-08,0.0,5.056213922216557e-05,0.727746307849884,0.0,-2.5586160455949365e-17,0.0,156922.140625,0.0,62768.8515625,300.4654541015625,1.0117635105517924e-19,1.0018471479415894,0.0,-3.5158077783092506e-17,0.0,1.848117790359538e-05,4.866424774263578e-07,1.5305356804486036e-30,0.0003241109661757,-0.0020030019804835,0.0322565734386444,0.0
8.674717832946045e-08,0.0,7.669229671591893e-05,0.7277459502220154,0.0,-2.7544707425154445e-17,0.0,156922.0625,0.0,62768.82421875,300.4654541015625,1.0892115265763373e-19,1.001759648323059,0.0,-3.784934299325829e-17,0.0,1.848117790359538e-05,8.320143365381227e-07,-2.7068651964972635e-30,0.000363627274055,-0.0021670400165021,0.0341666862368583,0.0
1.584429298873147e-07,0.0,0.0001034053202602,0.7277455925941467,0.0,-2.961177552764281e-17,0.0,156921.96875,0.0,62768.7890625,300.4654235839844,1.170951188263355e-19,1.0016610622406006,0.0,-4.068973563297758e-17,0.0,1.848117790359538e-05,1.254186258847767e-06,-4.187476127233676e-30,0.0004041401844006,-0.0023537592496722,0.0360201336443424,0.0
2.543956725276076e-07,0.0,0.0001307141792494,0.7277451753616333,0.0,-3.1796819437815934e-17,0.0,156921.875,0.0,62768.75,300.4654235839844,1.2573560193582004e-19,1.0015473365783691,0.0,-4.369224243786746e-17,0.0,1.8481176084605977e-05,1.7596039469935931e-06,0.0,0.0004456476599443,-0.0025645929854363,0.0378252007067203,0.0
3.765014753298601e-07,0.0,0.0001586321159265,0.7277446985244751,0.0,-3.4104100790189695e-17,0.0,156921.765625,0.0,62768.7109375,300.4654235839844,1.3485948164046236e-19,1.001420974731445,0.0,-4.6862726464109707e-17,0.0,1.8481176084605977e-05,2.3551924641651567e-06,-1.7063785950886747e-29,0.0004881644854322,-0.0028011177200824,0.0395891368389129,0.0
5.267846177048341e-07,0.0,0.0001871726562967,0.7277441620826721,0.0,-3.654261600110622e-17,0.0,156921.65625,0.0,62768.66015625,300.46539306640625,1.4450231378190514e-19,1.0012781620025637,0.0,-5.0213545790055866e-17,0.0,1.8481176084605977e-05,3.0486507966998037e-06,-1.673056696858684e-29,0.0005317562026903,-0.0030653974972665,0.04131980240345,0.0
7.074062295941985e-07,0.0,0.0002163496683351,0.7277435660362244,0.0,-3.911761270437154e-17,0.0,156921.515625,0.0,62768.609375,300.46539306640625,1.5468489419773584e-19,1.0011205673217771,0.0,-5.3751920048092305e-17,0.0,1.8481176084605977e-05,3.848053893307224e-06,0.0,0.0005764384986832,-0.0033591864630579,0.0430218316614627,0.0
9.206736990563512e-07,0.0,0.0002461772528477,0.7277429103851318,0.0,-4.183800790698899e-17,0.0,156921.375,0.0,62768.546875,300.46539306640625,1.6544245561217042e-19,1.0009450912475586,0.0,-5.749009151128479e-17,0.0,1.8481174265616573e-05,4.76241075375583e-06,0.0,0.0006222753436304,-0.0036847863811999,0.0447008349001407,0.0
1.1690502788042068e-06,0.0,0.0002766698889899,0.7277421951293945,0.0,-4.4711276012973597e-17,0.0,156921.203125,0.0,62768.484375,300.4653625488281,1.768045568074105e-19,1.000752329826355,0.0,-6.14383503064535e-17,0.0,1.8481174265616573e-05,5.801162387797376e-06,0.0,0.0006692879833281,-0.0040442217141389,0.0463600941002368,0.0
1.4551659432981978e-06,0.0,0.0003078423615079,0.7277413606643677,0.0,-4.7746320794438845e-17,0.0,156921.03125,0.0,62768.41015625,300.4653625488281,1.8880643050767208e-19,1.0005396604537964,0.0,-6.560890892816216e-17,0.0,1.8481174265616573e-05,6.974784810154233e-06,7.00604804407602e-29,0.0007175343343988,-0.0044400203041732,0.0480036363005638,0.0
1.7818283595261164e-06,0.0,0.0003397097170818,0.7277405261993408,0.0,-5.095123207777556e-17,0.0,156920.828125,0.0,62768.33203125,300.46533203125,2.0148006533820625e-19,1.000307321548462,0.0,-7.001291115362307e-17,0.0,1.848117244662717e-05,8.294325198221486e-06,6.96839611366325e-29,0.0007670430350117,-0.0048745470121502,0.0496339946985244,0.0
2.15203499465133e-06,0.0,0.0003722874389495,0.7277395725250244,0.0,-5.433596580883639e-17,0.0,156920.609375,0.0,62768.24609375,300.46533203125,2.1486485577568576e-19,1.0000529289245603,0.0,-7.466402862400055e-17,0.0,1.848117244662717e-05,9.771957593329716e-06,0.0,0.0008178682182915,-0.0053505892865359,0.0512541718780994,0.0
2.568986474216217e-06,0.0,0.0004055912722833,0.7277384996414185,0.0,-5.791068969171084e-17,0.0,156920.375,0.0,62768.15234375,300.4653015136719,2.29000997628002e-19,0.9997758865356444,0.0,-7.957623738292426e-17,0.0,1.848117062763777e-05,1.1420609553169925e-05,-5.59319486467016e-29,0.000870045623742,-0.0058708726428449,0.052866231650114,0.0
3.036099769815337e-06,0.0,0.0004396373115014,0.7277373671531677,0.0,-6.168608097374578e-17,0.0,156920.125,0.0,62768.05078125,300.4652709960937,2.4393072880518325e-19,0.9994742274284364,0.0,-8.476420830573844e-17,0.0,1.848117062763777e-05,1.3254442819743416e-05,-5.552459640787047e-29,0.0009236282203346,-0.0064385319128632,0.054472517222166,0.0
3.5570235468185274e-06,0.0,0.0004744420584756,0.7277361750602722,0.0,-6.567205258740201e-17,0.0,156919.84375,0.0,62767.94140625,300.4652709960937,2.5969324991344647e-19,0.9991469383239746,0.0,-9.024156671149307e-17,0.0,1.8481168808648363e-05,1.528858410893008e-05,0.0,0.0009786579757928,-0.0070567168295383,0.0560747683048248,0.0
