x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
9.09936570536729e-09,0.0,-2.500191840226762e-05,0.7277470231056213,0.0,-2.1204756804823388e-17,0.0,156922.296875,0.0,62768.91796875,300.4654541015625,8.385070415843514e-20,1.0020414590835571,0.0,-2.9137536338853906e-17,0.0,1.848117790359538e-05,-1.561400608807162e-07,-3.784644651596713e-31,0.000212058526813,-0.0016378499567508,0.0260914172977209,0.0
3.7228303995107126e-08,0.0,-5.056088411947712e-05,0.7277472019195557,0.0,-2.035771724012419e-17,0.0,156922.34375,0.0,62768.9375,300.4654541015625,8.050121075131212e-20,1.002090573310852,0.0,-2.797361049893054e-17,0.0,1.848117790359538e-05,-2.574986410763813e-07,-3.663927494337888e-31,0.0001737874263199,-0.0015425370074808,0.0236200708895921,0.0
8.568387244167752e-08,0.0,-7.668927719350904e-05,0.72774738073349,0.0,-1.943242308075502e-17,0.0,156922.375,0.0,62768.94921875,300.4654541015625,7.684226778456331e-20,1.0021291971206665,0.0,-2.670215448809773e-17,0.0,1.848117790359538e-05,-3.0239024795264413e-07,0.0,0.0001347153302049,-0.0014622333692386,0.0207962077111005,0.0
1.558336322204923e-07,0.0,-0.0001033997396007,0.7277474999427795,0.0,-1.8424842648410306e-17,0.0,156922.390625,0.0,62768.9609375,300.4654541015625,7.28579455690485e-20,1.0021594762802124,0.0,-2.5317631159335047e-17,0.0,1.848117790359538e-05,-2.869690831630578e-07,-8.221923578690865e-30,9.48441884247586e-05,-0.0013984225224703,0.0174496211111545,0.0
2.491193242804002e-07,0.0,-0.0001307052007177,0.7277475595474243,0.0,-1.7330001278886138e-17,0.0,156922.40625,0.0,62768.96484375,300.4654541015625,6.852857917817399e-20,1.0021779537200928,0.0,-2.381320469206036e-17,0.0,1.848117790359538e-05,-2.0730421113057679e-07,-7.946335040711204e-30,5.419363151304424e-05,-0.0013523759553208,0.0131904976442456,0.0
3.670607213734911e-07,0.0,-0.0001586188882356,0.7277476191520691,0.0,-1.6143136066215455e-17,0.0,156922.421875,0.0,62768.96875,300.4654541015625,6.38353179412615e-20,1.0021871328353882,0.0,-2.218232877890591e-17,0.0,1.848117790359538e-05,-5.923864776491428e-08,5.9606896071440025e-30,1.2756404430547263e-05,-0.0013252553762868,0.0063996911048889,0.0
5.112596568324079e-07,0.0,-0.0001871543063316,0.7277476191520691,0.0,-1.4858953054477906e-17,0.0,156922.421875,0.0,62768.96875,300.4654541015625,5.875722384905578e-20,1.002183437347412,0.0,-2.0417727539203685e-17,0.0,1.848117790359538e-05,1.618268186120986e-07,5.789820876783052e-30,-2.9519907911890183e-05,-0.0013182765105739,0.0097355749458074,0.0
6.834043801973166e-07,0.0,-0.0002163252502214,0.7277475595474243,0.0,-1.3472542926737989e-17,0.0,156922.40625,0.0,62768.9609375,300.4654541015625,5.327490985595013e-20,1.0021687746047974,0.0,-1.851266110532261e-17,0.0,1.848117790359538e-05,4.6055950519985355e-07,-1.1936025309661962e-29,-7.264190935529768e-05,-0.0013327264459803,0.0152724385261535,0.0
8.852738346831757e-07,0.0,-0.0002461458207108,0.7277474403381348,0.0,-1.1977695210956661e-17,0.0,156922.375,0.0,62768.953125,300.4654541015625,4.7363789956940967e-20,1.0021401643753052,0.0,-1.6458588010257453e-17,0.0,1.848117790359538e-05,8.42157191982551e-07,-1.1649540221168824e-29,-0.000116659750347,-0.0013700252166017,0.0193547401577234,0.0
1.1187428299308522e-06,0.0,-0.0002766304532997,0.7277472615242004,0.0,-1.0369211904164634e-17,0.0,156922.34375,0.0,62768.9375,300.4654541015625,4.1003323577207975e-20,1.0020984411239624,0.0,-1.424836968532189e-17,0.0,1.848117790359538e-05,1.3118662991473684e-06,-5.268282658961634e-29,-0.0001615824003238,-0.0014315912267193,0.022779144346714,0.0
