Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-0.15000000596046448,29.56905746459961,-0.15000000596046448,29.571819305419922,-0.15000000596046448,29.80276870727539,-0.15000000596046448,30.081045150756836,-0.15000000596046448,30.329030990600586,-0.15000000596046448,30.423564910888672,-0.15000000596046448,30.497570037841797
-0.14970000088214874,29.56770133972168,-0.14970000088214874,29.570585250854492,-0.14970000088214874,29.802339553833008,-0.14970000088214874,30.080982208251953,-0.14970000088214874,30.329059600830078,-0.14970000088214874,30.42359161376953,-0.14970000088214874,30.49758529663086
-0.149399995803833,29.566343307495117,-0.149399995803833,29.569351196289062,-0.149399995803833,29.801910400390625,-0.149399995803833,30.080921173095703,-0.149399995803833,30.32908821105957,-0.149399995803833,30.42361831665039,-0.149399995803833,30.497602462768555
-0.14910000562667847,29.564987182617188,-0.14910000562667847,29.568117141723633,-0.14910000562667847,29.801483154296875,-0.14910000562667847,30.080860137939453,-0.14910000562667847,30.329116821289062,-0.14910000562667847,30.423646926879883,-0.14910000562667847,30.497617721557617
-0.14880000054836273,29.563629150390625,-0.14880000054836273,29.566884994506836,-0.14880000054836273,29.801055908203125,-0.14880000054836273,30.080799102783203,-0.14880000054836273,30.329145431518555,-0.14880000054836273,30.423673629760742,-0.14880000054836273,30.49763298034668
-0.148499995470047,29.562273025512695,-0.148499995470047,29.56565284729004,-0.148499995470047,29.800630569458008,-0.148499995470047,30.080739974975586,-0.148499995470047,30.329174041748047,-0.148499995470047,30.4237003326416,-0.148499995470047,30.497648239135742
-0.14820000529289246,29.560916900634766,-0.14820000529289246,29.564422607421875,-0.14820000529289246,29.80020523071289,-0.14820000529289246,30.080678939819336,-0.14820000529289246,30.32920265197754,-0.14820000529289246,30.42372703552246,-0.14820000529289246,30.497663497924805
-0.14790000021457672,29.559558868408203,-0.14790000021457672,29.56319236755371,-0.14790000021457672,29.79978370666504,-0.14790000021457672,30.08061981201172,-0.14790000021457672,30.329233169555664,-0.14790000021457672,30.423755645751953,-0.14790000021457672,30.497678756713867
-0.147599995136261,29.558202743530273,-0.147599995136261,29.561962127685547,-0.147599995136261,29.799362182617188,-0.147599995136261,30.0805606842041,-0.147599995136261,30.329261779785156,-0.147599995136261,30.423782348632812,-0.147599995136261,30.49769401550293
-0.14730000495910645,29.55684471130371,-0.14730000495910645,29.560733795166016,-0.14730000495910645,29.798940658569336,-0.14730000495910645,30.080501556396484,-0.14730000495910645,30.32929039001465,-0.14730000495910645,30.423809051513672,-0.14730000495910645,30.497709274291992
-0.1469999998807907,29.55548858642578,-0.1469999998807907,29.559505462646484,-0.1469999998807907,29.798521041870117,-0.1469999998807907,30.080442428588867,-0.1469999998807907,30.329320907592773,-0.1469999998807907,30.423837661743164,-0.1469999998807907,30.497726440429688
-0.14669999480247498,29.55413055419922,-0.14669999480247498,29.558277130126953,-0.14669999480247498,29.79810333251953,-0.14669999480247498,30.080385208129883,-0.14669999480247498,30.329349517822266,-0.14669999480247498,30.423864364624023,-0.14669999480247498,30.49774169921875
-0.14640000462532043,29.552724838256836,-0.14640000462532043,29.557048797607422,-0.14640000462532043,29.797685623168945,-0.14640000462532043,30.080326080322266,-0.14640000462532043,30.32938003540039,-0.14640000462532043,30.423891067504883,-0.14640000462532043,30.497756958007812
-0.1460999995470047,29.55131721496582,-0.1460999995470047,29.555801391601562,-0.1460999995470047,29.797269821166992,-0.1460999995470047,30.08026695251465,-0.1460999995470047,30.329408645629883,-0.1460999995470047,30.423919677734375,-0.1460999995470047,30.497772216796875
-0.14579999446868896,29.549909591674805,-0.14579999446868896,29.554527282714844,-0.14579999446868896,29.796850204467773,-0.14579999446868896,30.0802059173584,-0.14579999446868896,30.329437255859375,-0.14579999446868896,30.423946380615234,-0.14579999446868896,30.497787475585938
-0.14550000429153442,29.54850196838379,-0.14550000429153442,29.553253173828125,-0.14550000429153442,29.796422958374023,-0.14550000429153442,30.08014678955078,-0.14550000429153442,30.329465866088867,-0.14550000429153442,30.423974990844727,-0.14550000429153442,30.497802734375
-0.1451999992132187,29.547094345092773,-0.1451999992132187,29.55198097229004,-0.1451999992132187,29.795995712280273,-0.1451999992132187,30.080087661743164,-0.1451999992132187,30.32949447631836,-0.1451999992132187,30.424001693725586,-0.1451999992132187,30.497819900512695
-0.14489999413490295,29.54568862915039,-0.14489999413490295,29.550708770751953,-0.14489999413490295,29.79557228088379,-0.14489999413490295,30.08003044128418,-0.14489999413490295,30.32952308654785,-0.14489999413490295,30.424028396606445,-0.14489999413490295,30.497835159301758
-0.1446000039577484,29.544281005859375,-0.1446000039577484,29.549436569213867,-0.1446000039577484,29.795146942138672,-0.1446000039577484,30.079971313476562,-0.1446000039577484,30.329551696777344,-0.1446000039577484,30.424055099487305,-0.1446000039577484,30.49785041809082
-0.14429999887943268,29.542875289916992,-0.14429999887943268,29.548166275024414,-0.14429999887943268,29.79472541809082,-0.14429999887943268,30.079914093017578,-0.14429999887943268,30.329580307006836,-0.14429999887943268,30.424081802368164,-0.14429999887943268,30.497865676879883
-0.14399999380111694,29.541467666625977,-0.14399999380111694,29.54689598083496,-0.14399999380111694,29.79430389404297,-0.14399999380111694,30.079856872558594,-0.14399999380111694,30.329608917236328,-0.14399999380111694,30.424108505249023,-0.14399999380111694,30.497880935668945
