x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity
9.09936570536729e-09,0.0,-2.500191840226762e-05,0.7277488708496094,0.0,6.89817067738561e-16,0.0,156922.46875,0.0,62768.98828125,300.46502685546875,2.7277626935383018e-18,1.0022408962249756,0.0,9.478779370973188e-16,0.0,1.848115789471194e-05,-1.7060774837318604e-07,-5.1540872007849e-30,0.0002317075413884,-0.0009462675661779,0.0272735003381967,0.0
3.7228303995107126e-08,0.0,-5.056088411947712e-05,0.7277489900588989,0.0,6.996678491568918e-16,0.0,156922.5,0.0,62769.0,300.46502685546875,2.7667154557640364e-18,1.0022848844528198,0.0,9.614136294735609e-16,0.0,1.848115789471194e-05,-2.765565341178444e-07,-5.032947711915713e-30,0.0001866497186711,-0.0008220868767239,0.0244786068797111,0.0
8.568387244167752e-08,0.0,-7.668927719350904e-05,0.7277491688728333,0.0,7.099953513058489e-16,0.0,156922.53125,0.0,62769.01171875,300.46502685546875,2.8075531558106266e-18,1.0023200511932373,0.0,9.756045018345042e-16,0.0,1.848115789471194e-05,-3.157845185342012e-07,0.0,0.0001406824885634,-0.0007229935145005,0.0212518461048603,0.0
1.558336322204923e-07,0.0,-0.0001033997396007,0.727749228477478,0.0,7.206454671285918e-16,0.0,156922.5625,0.0,62769.0234375,300.46502685546875,2.849666781952079e-18,1.0023456811904907,0.0,9.902386900642168e-16,0.0,1.848115789471194e-05,-2.837536214883585e-07,-1.1267123508902815e-28,9.37814693315886e-05,-0.0006503489566966,0.0173516254872083,0.0
2.491193242804002e-07,0.0,-0.0001307052007177,0.7277492880821228,0.0,7.301508179231202e-16,0.0,156922.5625,0.0,62769.02734375,300.46502685546875,2.887253868986489e-18,1.0023611783981323,0.0,1.003299938110878e-15,0.0,1.848115789471194e-05,-1.756434642175009e-07,-1.099378229042701e-28,4.591685501509346e-05,-0.0006066468777135,0.0121415490284562,0.0
3.670607213734911e-07,0.0,-0.0001586188882356,0.7277493476867676,0.0,7.391093030710777e-16,0.0,156922.578125,0.0,62769.02734375,300.46502685546875,2.922678499104532e-18,1.002366065979004,0.0,1.0156097620542064e-15,0.0,1.848115789471194e-05,1.3760027783860096e-08,8.140314855173161e-29,-2.963073711725883e-06,-0.0005921004340052,0.0030843743588775,0.0
5.112596568324079e-07,0.0,-0.0001871543063316,0.7277492880821228,0.0,7.493065209648354e-16,0.0,156922.5625,0.0,62769.02734375,300.46502685546875,2.9630016928101134e-18,1.0023587942123413,0.0,1.0296218045841609e-15,0.0,1.848115789471194e-05,2.896921671435848e-07,7.934942111847213e-29,-5.284467988531105e-05,-0.0006088471855036,0.013025838881731,0.0
6.834043801973166e-07,0.0,-0.0002163252502214,0.727749228477478,0.0,7.585871433305456e-16,0.0,156922.546875,0.0,62769.01953125,300.46502685546875,2.999700594661794e-18,1.0023399591445925,0.0,1.0423744150006662e-15,0.0,1.848115789471194e-05,6.576144642167492e-07,-1.6158175473363536e-28,-0.0001037224719766,-0.0006597497849725,0.0182495489716529,0.0
8.852738346831757e-07,0.0,-0.0002461458207108,0.7277491092681885,0.0,7.677066176780406e-16,0.0,156922.515625,0.0,62769.0078125,300.46502685546875,3.0357623606466563e-18,1.0023075342178345,0.0,1.0549056321805833e-15,0.0,1.848115789471194e-05,1.1238164461246924e-06,-1.571270546981434e-28,-0.0001556765782879,-0.0007470271084457,0.0223583336919546,0.0
1.1187428299308522e-06,0.0,-0.0002766304532997,0.7277489304542542,0.0,7.772781429215734e-16,0.0,156922.484375,0.0,62768.9921875,300.46502685546875,3.073612077525551e-18,1.0022612810134888,0.0,1.0680581480273109e-15,0.0,1.848115789471194e-05,1.6945401739576482e-06,-7.001454460417415e-28,-0.0002087162865791,-0.0008719483157619,0.0258892513811588,0.0
