x,y,z,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Nu_Tilde,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Temperature,Velocity_0,Velocity_1,Velocity_2,Y_Plus,vtkValidPointMask
3.0,0.0,-0.15000000596046448,0.7249488830566406,3.865717644657707e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783610165119171,22.10987091064453,-8.938502560340567e-08,-0.1056787446141243,7.629067840753123e-05,62431.078125,0.0037473090924322605,0.0,0.0,0.0,300.00177001953125,30.498523712158203,-1.2329837772995234e-07,-0.14577406644821167,0.0,1.0
3.0,0.0,-0.14970000088214874,0.7249488830566406,3.865624876198126e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783614635467529,22.109882354736328,-8.927623440513344e-08,-0.10568945109844208,7.629019091837108e-05,62431.078125,0.0037462955806404352,0.0,0.0,0.0,300.00177001953125,30.4985408782959,-1.231483111041598e-07,-0.14578883349895477,0.0,1.0
3.0,0.0,-0.149399995803833,0.7249488830566406,3.865532107738545e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783619850873947,22.109895706176758,-8.9167478733998e-08,-0.10570015758275986,7.628971070516855e-05,62431.078125,0.00374528206884861,0.0,0.0,0.0,300.00177001953125,30.498558044433594,-1.2299830132178613e-07,-0.14580360054969788,0.0,1.0
3.0,0.0,-0.14910000562667847,0.7249488830566406,3.865439339278964e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783625066280365,22.109907150268555,-8.905877280085406e-08,-0.10571084171533585,7.628923049196601e-05,62431.07421875,0.0037442687898874283,0.0,0.0,0.0,300.00177001953125,30.49857521057129,-1.2284834838283132e-07,-0.1458183377981186,0.0,1.0
3.0,0.0,-0.14880000054836273,0.7249488830566406,3.8653465708193835e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783630281686783,22.109920501708984,-8.895009528941955e-08,-0.10572152584791183,7.628874300280586e-05,62431.07421875,0.003743255278095603,0.0,0.0,0.0,300.00177001953125,30.498592376708984,-1.2269843807644065e-07,-0.1458330750465393,0.0,1.0
3.0,0.0,-0.148499995470047,0.7249488830566406,3.8652542571071535e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783634752035141,22.10993194580078,-8.884146751597655e-08,-0.10573220252990723,7.628826278960332e-05,62431.07421875,0.0037422417663037777,0.0,0.0,0.0,300.00177001953125,30.49860954284668,-1.2254859882432356e-07,-0.14584781229496002,0.0,1.0
3.0,0.0,-0.14820000529289246,0.7249488830566406,3.865161488647573e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783639967441559,22.10994529724121,-8.873287526967033e-08,-0.10574287176132202,7.628778257640079e-05,62431.07421875,0.0037412282545119524,0.0,0.0,0.0,300.00177001953125,30.498626708984375,-1.2239880220477062e-07,-0.14586251974105835,0.0,1.0
3.0,0.0,-0.14790000021457672,0.7249488234519958,3.865069174935343e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783645182847977,22.109956741333008,-8.86243185505009e-08,-0.10575353354215622,7.628730236319825e-05,62431.07421875,0.003740214742720127,0.0,0.0,0.0,300.00177001953125,30.49864387512207,-1.2224906242863653e-07,-0.14587722718715668,0.0,1.0
3.0,0.0,-0.147599995136261,0.7249488234519958,3.864976406475762e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783649653196335,22.109970092773438,-8.851580446389562e-08,-0.10576418042182922,7.628682214999571e-05,62431.07421875,0.0037392014637589455,0.0,0.0,0.0,300.00177001953125,30.498661041259766,-1.220993794959213e-07,-0.1458919197320938,0.0,1.0
3.0,0.0,-0.14730000495910645,0.7249488234519958,3.864884092763532e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783654868602753,22.109981536865234,-8.840733300985448e-08,-0.10577482730150223,7.628634193679318e-05,62431.07421875,0.00373818795196712,0.0,0.0,0.0,300.00177001953125,30.49867820739746,-1.2194975340662495e-07,-0.14590659737586975,0.0,1.0
3.0,0.0,-0.1469999998807907,0.7249488234519958,3.864791779051302e-06,156414.859375,0.0,1.8459246348356828e-05,0.0878366008400917,22.109994888305664,-8.829888997752278e-08,-0.10578545928001404,7.628586172359064e-05,62431.07421875,0.003737174440175295,0.0,0.0,0.0,300.00177001953125,30.498695373535156,-1.2180016994989273e-07,-0.1459212750196457,0.0,1.0
3.0,0.0,-0.14669999480247498,0.7249488234519958,3.864697191602318e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783665299415588,22.110008239746094,-8.818902585971955e-08,-0.10579610615968704,7.628536695847288e-05,62431.07421875,0.003736159298568964,0.0,0.0,0.0,300.00177001953125,30.49871253967285,-1.2164862539520982e-07,-0.14593595266342163,0.0,1.0
3.0,0.0,-0.14640000462532043,0.7249488234519958,3.864592144964263e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783669769763947,22.11001968383789,-8.80734347674661e-08,-0.10580679774284363,7.628482126165181e-05,62431.07421875,0.003735137637704611,0.0,0.0,0.0,300.00177001953125,30.49873161315918,-1.2148916539445054e-07,-0.14595070481300354,0.0,1.0
3.0,0.0,-0.1460999995470047,0.7249488234519958,3.864487553073559e-06,156414.859375,0.0,1.8459246348356828e-05,0.08783674985170364,22.11003303527832,-8.795787920234943e-08,-0.10581748187541962,7.628427556483075e-05,62431.07421875,0.003734115744009614,0.0,0.0,0.0,300.0017395019531,30.498748779296875,-1.2132977644796483e-07,-0.14596544206142426,0.0,1.0
