x,y,z,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Nu_Tilde,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Temperature,Velocity_0,Velocity_1,Velocity_2,Y_Plus,vtkValidPointMask
3.0,0.0,-0.15000000596046448,0.7249488830566406,3.863619895128068e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783428370952606,22.109413146972656,-7.637317292258014e-14,-0.10546348989009857,7.627975719515234e-05,62431.07421875,0.0037440916057676077,0.0,0.0,0.0,300.0017395019531,30.497894287109375,-1.0534973636728076e-13,-0.14547714591026306,0.0,1.0
3.0,0.0,-0.14970000088214874,0.7249488830566406,3.86353895009961e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783430606126785,22.109420776367188,-7.626274693131249e-14,-0.10547409951686859,7.627933518961072e-05,62431.07421875,0.0037430801894515753,0.0,0.0,0.0,300.0017395019531,30.49790382385254,-1.0519741273831013e-13,-0.14549177885055542,0.0,1.0
3.0,0.0,-0.149399995803833,0.7249488830566406,3.863458459818503e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783433586359024,22.10942840576172,-7.615222607235475e-14,-0.10548470169305801,7.62789131840691e-05,62431.07421875,0.003742068773135543,0.0,0.0,0.0,300.0017395019531,30.497913360595703,-1.0504496036033151e-13,-0.14550639688968658,0.0,1.0
3.0,0.0,-0.14910000562667847,0.7249488830566406,3.863377514790045e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783436566591263,22.109434127807617,-7.60416171219705e-14,-0.10549528896808624,7.627849117852747e-05,62431.07421875,0.0037410573568195105,0.0,0.0,0.0,300.0017395019531,30.497922897338867,-1.0489238600960848e-13,-0.14552100002765656,0.0,1.0
3.0,0.0,-0.14880000054836273,0.7249488830566406,3.863297024508938e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783439546823502,22.10944175720215,-7.593090652763257e-14,-0.10550587624311447,7.627807644894347e-05,62431.07421875,0.0037400457076728344,0.0,0.0,0.0,300.0017395019531,30.49793243408203,-1.0473966935735032e-13,-0.14553560316562653,0.0,1.0
3.0,0.0,-0.148499995470047,0.7249488830566406,3.863216534227831e-06,156414.84375,0.0,1.8459246348356828e-05,0.0878344252705574,22.10944938659668,-7.582009428934097e-14,-0.1055164486169815,7.627765444340184e-05,62431.07421875,0.003739034291356802,0.0,0.0,0.0,300.0017395019531,30.497941970825195,-1.045868171798206e-13,-0.1455501914024353,0.0,1.0
3.0,0.0,-0.14820000529289246,0.7249488830566406,3.863136043946724e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783445507287979,22.10945701599121,-7.570919395962286e-14,-0.10552702099084854,7.627723243786022e-05,62431.07421875,0.0037380228750407696,0.0,0.0,0.0,300.0017395019531,30.497953414916992,-1.0443384302954647e-13,-0.14556477963924408,0.0,1.0
3.0,0.0,-0.14790000021457672,0.7249488234519958,3.8630555536656175e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783447742462158,22.10946273803711,-7.559819198595108e-14,-0.10553757846355438,7.627681770827621e-05,62431.07421875,0.0037370112258940935,0.0,0.0,0.0,300.0017395019531,30.497962951660156,-1.0428072657773721e-13,-0.14557933807373047,0.0,1.0
3.0,0.0,-0.147599995136261,0.7249488234519958,3.862975063384511e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783450722694397,22.10947036743164,-7.548710192085278e-14,-0.10554812848567963,7.627639570273459e-05,62431.0703125,0.003735999809578061,0.0,0.0,0.0,300.0017395019531,30.49797248840332,-1.0412748137691996e-13,-0.14559389650821686,0.0,1.0
3.0,0.0,-0.14730000495910645,0.7249488234519958,3.862894573103404e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783453702926636,22.109477996826172,-7.537591021180082e-14,-0.10555867105722427,7.627598097315058e-05,62431.0703125,0.0037349883932620287,0.0,0.0,0.0,300.0017395019531,30.497982025146484,-1.0397410742709473e-13,-0.14560844004154205,0.0,1.0
3.0,0.0,-0.1469999998807907,0.7249488234519958,3.862814082822297e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783456683158875,22.10948371887207,-7.526462363505876e-14,-0.10556921362876892,7.627555896760896e-05,62431.0703125,0.0037339767441153526,0.0,0.0,0.0,300.0017395019531,30.49799156188965,-1.0382059795199794e-13,-0.14562296867370605,0.0,1.0
3.0,0.0,-0.14669999480247498,0.7249488234519958,3.86273359254119e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783459663391113,22.1094913482666,-7.515270008954036e-14,-0.10557976365089417,7.627514423802495e-05,62431.0703125,0.0037329636979848146,0.0,0.0,0.0,300.0017395019531,30.498003005981445,-1.03666207562636e-13,-0.14563754200935364,0.0,1.0
3.0,0.0,-0.14640000462532043,0.7249488234519958,3.862650373775978e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783463388681412,22.109500885009766,-7.503856748209553e-14,-0.10559041798114777,7.62747076805681e-05,62431.0703125,0.003731943666934967,0.0,0.0,0.0,300.0017395019531,30.498014450073242,-1.0350876785466395e-13,-0.14565223455429077,0.0,1.0
3.0,0.0,-0.1460999995470047,0.7249488234519958,3.862567155010765e-06,156414.84375,0.0,1.8459246348356828e-05,0.0878346711397171,22.10951042175293,-7.492433323069703e-14,-0.10560106486082077,7.627427112311125e-05,62431.0703125,0.003730923868715763,0.0,0.0,0.0,300.0017395019531,30.498027801513672,-1.0335119939768392e-13,-0.1456669121980667,0.0,1.0
3.0,0.0,-0.14579999446868896,0.7249488234519958,3.862483936245553e-06,156414.84375,0.0,1.8459246348356828e-05,0.08783470839262009,22.109519958496094,-7.481001088787201e-14,-0.10561170428991318,7.627384184161201e-05,62431.0703125,0.0037299038376659155,0.0,0.0,0.0,300.0017395019531,30.4980411529541,-1.0319350896795948e-13,-0.14568158984184265,0.0,1.0
3.0,0.0,-0.14550000429153442,0.7249488234519958,3.862400717480341e-06,156414.84375,0.0,1.8459244529367425e-05,0.08783474564552307,22.109527587890625,-7.469560722988405e-14,-0.10562232881784439,7.627340528415516e-05,62431.0703125,0.0037288840394467115,0.0,0.0,0.0,300.0017395019531,30.4980525970459,-1.0303569656549064e-13,-0.1456962525844574,0.0,1.0
